Provinsi,Baik,Sedang,Rusak,Rusak Berat,Jumlah
Aceh,10888,3228,5070,4464,23650
Sumatera Utara,16381,8720,4638,11000,40739
Sumatera Barat,10923,3737,2639,5393,22692
Riau,7927,6623,6029,3713,24292
Jambi,5496,3698,1501,2332,13027
Sumatera Selatan,8552,5365,3153,2536,19606
Bengkulu ,4006,1528,1137,2520,9191
Lampung,6076,5365,3455,5863,20759
Kep. Bangka Belitung,4260,561,313,758,5892
Kepulauan Riau,2689,1255,1111,631,5686
DKI Jakarta,4540,1680,265,0,6485
Jawa Barat ,16544,7193,2067,2373,28177
Jawa Tengah,17926,7806,2628,2185,30545
D.I.Yogyakarta,1968,1305,650,435,4358
Jawa Timur,26413,8962,3965,3130,42470
Banten ,3419,1430,351,460,5660
Bali,5789,1395,926,575,8685
Nusa Tenggara Barat,4721,1458,1076,1249,8504
Nusa Tenggara Timur,11564,2885,1649,7655,23753
Kalimantan Barat,4647,6272,4183,3213,18315
Kalimantan Tengah,6164,4492,3182,4971,18809
Kalimantan Selatan,5552,3552,999,3362,13465
Kalimantan Timur,4431,3810,1803,3396,13440
Kalimantan Utara,1327,1312,894,1381,4914
Sulawesi Utara,5816,1907,898,1543,10164
Sulawesi Tengah,4234,6290,2853,3531,16908
Sulawesi Selatan,12991,7289,5723,4504,30507
Sulawesi Tenggara,4279,2775,3714,1821,12589
Gorontalo,2423,1190,812,1088,5513
Sulawesi Barat,1578,1948,1317,1038,5881
Maluku,3417,3316,1465,2459,10657
Maluku Utara,3111,1356,904,1983,7354
Papua Barat,2554,4812,2262,3388,13016
Papua,4373,7024,4260,5411,21068
