Provinsi,Baik,Sedang,Rusak,Rusak Berat,Jumlah
Aceh,11035,3876,4344,4680,23935
Sumatera Utara,17204,7503,4147,12102,40956
Sumatera Barat,9968,4178,3458,4719,22323
Riau,8420,5954,4411,5330,24115
Jambi,5578,3730,1594,2229,13131
Sumatera Selatan,8314,4982,2914,2679,18889
Bengkulu ,4296,2248,2058,999,9601
Lampung,9104,4456,4720,2517,20797
Kep. Bangka Belitung,3705,710,502,500,5417
Kepulauan Riau,2484,807,1326,1069,5686
DKI Jakarta,4540,1684,268,0,6492
Jawa Barat ,15744,7478,2828,2168,28218
Jawa Tengah,19066,6241,3389,1971,30667
D.I.Yogyakarta,2035,1262,573,491,4361
Jawa Timur,26599,7500,3885,3667,41651
Banten ,3627,1197,462,490,5776
Bali,5600,1436,1003,806,8845
Nusa Tenggara Barat,4478,1561,1321,1144,8504
Nusa Tenggara Timur,11286,3175,1674,7521,23656
Kalimantan Barat,5182,5533,4376,3224,18315
Kalimantan Tengah,4917,5065,3068,4955,18005
Kalimantan Selatan,6018,2900,2147,2375,13440
Kalimantan Timur,3383,4655,2928,2506,13472
Kalimantan Utara,1245,1938,985,746,4914
Sulawesi Utara,5524,1822,1113,1599,10058
Sulawesi Tengah,4654,4901,3485,4138,17178
Sulawesi Selatan,13593,6118,6013,5789,31513
Sulawesi Tenggara,4738,3354,3059,2457,13608
Gorontalo,2648,947,638,1273,5506
Sulawesi Barat,2307,1601,1567,1770,7245
Maluku,3965,2416,1547,2741,10669
Maluku Utara,3028,1061,1267,1998,7354
Papua Barat,3303,3987,2254,2978,12522
Papua,5161,6152,4195,6039,21547
